Speed,Acceleration,EngineRevolution,Accelerator,Clutch,Brake,Steering,Switches,Gear,WheelSlip,DistanceToCenterOfLane,PX,PY,PZ,category,output
22.4298066,0.082252567,265.0465477,0.164597188,0.992196822,0.003706724,-0.032688117,0,4,0,2.660643667,1254.288839,4217.311259,-0.01,200Y,1
23.88366275,-0.668779575,282.5258333,0.416794608,0.995968791,0.163153105,-0.246760931,0,4,13.7254902,3.755826975,-4188.509085,5616.163905,0,200Y,1
19.2765031,0.097967917,227.774718,0.15909185,0.961204528,0,-0.028083338,0,4,0,2.251744631,1811.828461,5999.67414,-0.01,200Y,1
21.01428898,-0.057411018,171.950735,0.206029289,0.999976987,0.020285216,-0.038532357,0,5,0,2.729845664,-4196.767713,5599.72325,0,200Y,1
22.29933062,-0.292890799,182.5289517,0.255531071,0.995538763,0.063278884,-0.039753997,0,5,0,2.16930026,1812.517617,6001.647345,-0.01,200Y,1
21.90278636,-0.02923433,179.2123876,0.130799043,0.995106459,0,-0.036664833,0,5,0,2.39127979,1259.105359,4214.511806,-0.01,200Y,1
23.6569832,-0.051669767,193.5712506,0.467243928,0.991565245,0.059370801,-0.045770181,0,5,0,2.633898046,1253.03761,4220.406176,-0.01,200Y,1
22.25273299,-0.189213166,263.0562973,0.500598077,0.990773964,0.104938314,-0.054126997,0,4,0,2.930262515,-4195.948728,5603.175799,0,200Y,1
20.02876773,-0.36271641,163.9705419,0.38344163,0.998052974,0.078854405,-0.029231509,0,5,0,2.360947137,1264.737775,4218.232401,-0.01,200Y,1
20.17947687,-0.199838231,237.1217619,0.217845714,0.871453878,0.074713333,-0.035983497,0,2.289795918,0,2.930493737,1811.15351,6004.510395,-0.01,200Y,1
21.83498109,-0.042895758,178.6612788,0.069886788,0.982863758,0,-0.027229539,0,5,0,2.38171852,1258.981624,4212.792485,-0.01,200Y,1
25.81620422,-0.088397468,211.2472588,0.421870886,0.999982419,0.036396765,-0.054050942,0,5,0,3.208223157,1261.977257,4215.853966,-0.01,200Y,1
24.0135865,-0.008469987,283.8002792,0.229121887,0.999274836,0.020530931,-0.042910891,0,4,0,1.913118583,1260.491048,4215.109712,-0.01,200Y,1
19.7307456,-0.401939197,161.5405505,0.251875353,0.995684799,0.091492725,-0.033180825,0,5,0,2.902304695,1284.718827,4204.803518,-0.01,200Y,1
22.33926139,0.074626036,255.8596509,0.182859024,0.962684467,0,-0.043677885,0,3.970414201,0,2.543959249,-4195.199364,5598.858166,0,200Y,1
24.34941503,-0.051084314,309.9232516,0.086518791,0.999988235,0,-0.052489346,0,3,0,3.211261175,1814.342794,6001.37402,-0.01,200Y,1
16.40126794,0.214182725,147.2964016,0.567065717,0.915132858,0.022864025,-0.023467275,0,4.870881567,0,2.451019713,1242.424221,4230.240623,-0.01,200Y,1
17.34183773,-0.001673744,141.8886114,0.225935829,0.99375763,0.023135924,-0.022801744,0,5,0,2.549435413,1260.447981,4218.281592,-0.01,200Y,1
22.56664721,-0.351421809,184.7311363,0.184669393,0.980858488,0.056569888,-0.03078202,0,5,0,3.099434886,1271.238711,4210.69114,-0.01,200Y,1
23.71880352,-0.284684115,194.1405833,0.073953906,0.999997656,0.011358073,-0.123032773,0,5,8.5,3.159149654,1272.766549,4203.950456,-0.01,200Y,1
23.37481285,-0.168873511,191.2910705,0.512983072,0.999785266,0.085448433,-0.054088041,0,5,0,3.515634081,1809.073511,5999.421254,-0.01,200Y,1
22.91854718,0.213104885,244.4920443,0.70214626,0.871936947,0.025367023,-0.072710489,0,4.13740458,0,1.79192476,1804.744931,5991.51458,-0.01,200Y,1
23.57426945,0.026469576,278.5951694,0.183321823,0.999994865,0.010980359,-0.039860398,0,4,0,2.878419341,1256.941399,4218.230231,-0.01,200Y,0
21.60613082,-0.471681959,255.5308065,0.282924253,0.996406093,0.108210514,-0.03604043,0,4,0,2.545078127,1278.066225,4212.172951,-0.01,200Y,0
20.13585451,-0.111126783,238.0112127,0.089605384,0.99988681,0.028056662,-0.029053957,1.658142665,4,0,2.312537531,-4192.779731,5603.150081,0,200Y,0
